1;	1, 0, 0, 0, 0, 0, 0, 0;	1;	1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	1;	movement0;	message;	key
2;	1, 1, 0, 0, 0, 0, 0, 0;	2;	1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	2;	movement0;	message0;	key
3;	1, 1, 1, 0, 0, 0, 0, 0;	3;	1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	3;	movement0;	message0;	key0
4;	1, 1, 1, 1, 0, 0, 0, 0;	4;	1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	4;	movement0;	message0;	key0
5;	1, 1, 1, 1, 1, 0, 0, 0;	5;	1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	5;	movement0;	message0;	key0
6;	1, 1, 1, 1, 1, 1, 0, 0;	6;	1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	6;	movement0;	message0;	key0
7;	1, 1, 1, 1, 1, 1, 1, 0;	7;	1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	7;	movement0;	message0;	key0
8;	1, 1, 1, 1, 1, 1, 1, 1;	8;	1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	8;	movement0;	message0;	key0
9;	2, 1, 1, 1, 1, 1, 1, 1;	9;	1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	9;	movement0;	message0;	key0
10;	2, 2, 1, 1, 1, 1, 1, 1;	10;	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;	10;	movement0;	message0;	key0
11;	2, 2, 2, 1, 1, 1, 1, 1;	11;	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0;	11;	movement00;	message0;	key0
12;	2, 2, 2, 2, 1, 1, 1, 1;	12;	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0;	12;	movement00;	message00;	key0
13;	2, 2, 2, 2, 2, 1, 1, 1;	13;	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0;	13;	movement00;	message00;	key00
14;	2, 2, 2, 2, 2, 2, 1, 1;	14;	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0;	14;	movement00;	message00;	key00
15;	2, 2, 2, 2, 2, 2, 2, 1;	15;	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0;	15;	movement00;	message00;	key00
